Date,Count
2019-03-31,20324
2019-04-30,20912
2019-05-31,23536
2019-06-30,23475
2019-07-31,24702
2019-08-31,24246
2019-09-30,22284
2019-10-31,21541
2019-11-30,19743
2019-12-31,20567
2020-01-31,19653
2020-02-29,18019
2020-03-31,16524
2020-04-30,12713
2020-05-31,17328
2020-06-30,17383
2020-07-31,19298
2020-08-31,19587
2020-09-30,17582
2020-10-31,18027
2020-11-30,16129
2020-12-31,15710
2021-01-31,15926
2021-02-28,12814
2021-03-31,15647
2021-04-30,15196
2021-05-31,17424
2021-06-30,18420
2021-07-31,18787
2021-08-31,18100
2021-09-30,18838
2021-10-31,18844
2021-11-30,16833
2021-12-31,16045
2022-01-31,15321
2022-02-28,14917
2022-03-31,17935
2022-04-30,17756
2022-05-31,19899
2022-06-30,20439
2022-07-31,21897
2022-08-31,21886
2022-09-30,21873
2022-10-31,22694
2022-11-30,20468
2022-12-31,19834
2023-01-31,21054
2023-02-28,18370
2023-03-31,20678
